id,data,preco_dolares,quartos,banheiros,area_util_m2,area_total_m2,andares,orla_mar,nota_vista,nota_condicao,nota,area_porao_m2,ano_construcao,ano_reforma,tem_porao,teve_reforma
7129300520,2014-10-13,221900,3,1,109.6255872,524.9021759999998,1.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,1955,0,Nao,Nao
6414100192,2014-12-09,538000,3,3,238.7608128,672.8038156800002,2.0,Nao,Vista completamente bloqueada,Pronto para morar,7,37.161216,1951,1991,Sim,Sim
5631500400,2015-02-25,180000,2,1,71.5353408,929.0304,1.0,Nao,Vista completamente bloqueada,Pronto para morar,6,0.0,1933,0,Nao,Nao
2487200875,2014-12-09,604000,4,3,182.0899584,464.51520000000005,1.0,Nao,Vista completamente bloqueada,Excelente estado,7,84.54176640000001,1965,0,Sim,Nao
1954400510,2015-02-18,510000,3,2,156.0771072,750.6565632,1.0,Nao,Vista completamente bloqueada,Pronto para morar,8,0.0,1987,0,Nao,Nao
7237550310,2014-05-12,1225000,4,5,503.53447680000005,9469.6068672,1.0,Nao,Vista completamente bloqueada,Pronto para morar,11,142.14165119999996,2001,0,Sim,Nao
1321400060,2014-06-27,257500,3,3,159.3287136,633.5058297600001,2.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,1995,0,Nao,Nao
2008000270,2015-01-15,291850,3,2,98.4772224,902.18142144,1.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,1963,0,Nao,Nao
2414600126,2015-04-15,229500,3,1,165.36741120000005,693.9857088,1.0,Nao,Vista completamente bloqueada,Pronto para morar,7,67.8192192,1960,0,Sim,Nao
3793500160,2015-03-12,323000,3,3,175.5867456,609.4439424000002,2.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,2003,0,Nao,Nao
1736800520,2015-04-03,662500,3,3,330.7348224000001,910.07817984,1.0,Nao,Vista completamente bloqueada,Pronto para morar,8,157.935168,1965,0,Sim,Nao
9212900260,2014-05-27,468000,2,1,107.7675264,557.4182400000002,1.0,Nao,Vista completamente bloqueada,Bom estado,7,27.870912,1942,0,Sim,Nao
114101516,2014-05-28,310000,3,1,132.85134720000002,1848.86339904,1.5,Nao,Vista completamente bloqueada,Bom estado,7,0.0,1927,0,Nao,Nao
6054650070,2014-10-07,400000,3,2,127.27716480000001,899.3014272,1.0,Nao,Vista completamente bloqueada,Bom estado,7,0.0,1977,0,Nao,Nao
1175000570,2015-03-12,530000,5,2,168.15450239999996,450.57974400000006,1.5,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,1900,0,Nao,Nao
9297300055,2015-01-24,650000,4,3,274.06396800000005,464.51520000000005,2.0,Nao,Vista boa,Pronto para morar,9,90.1159488,1979,0,Sim,Nao
1875500060,2014-07-31,395000,3,2,175.5867456,1304.3586816000004,2.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,1994,0,Nao,Nao
6865200140,2014-05-29,485000,4,1,148.64486399999996,399.48307200000005,1.5,Nao,Vista completamente bloqueada,Bom estado,7,0.0,1916,0,Nao,Nao
16000397,2014-12-05,189000,2,1,111.483648,915.094944,1.0,Nao,Vista completamente bloqueada,Bom estado,7,0.0,1921,0,Nao,Nao
7983200060,2015-04-24,230000,3,1,116.1288,908.03431296,1.0,Nao,Vista completamente bloqueada,Bom estado,7,0.0,1969,0,Nao,Nao
6300500875,2014-05-14,385000,4,2,150.50292480000005,462.6571392,1.0,Nao,Vista completamente bloqueada,Bom estado,7,70.6063104,1947,0,Sim,Nao
2524049179,2014-08-26,2000000,3,3,283.3542720000001,4168.280695680001,1.0,Nao,Excelente - vista sem bloqueios,Pronto para morar,9,66.89018879999999,1968,0,Sim,Nao
7137970340,2014-07-03,285000,5,3,210.8899008,585.2891520000003,2.0,Nao,Vista completamente bloqueada,Pronto para morar,8,0.0,1995,0,Nao,Nao
8091400200,2014-05-16,252700,2,2,99.4062528,895.8640147200001,1.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,1985,0,Nao,Nao
3814700200,2014-11-20,329000,3,3,227.61244800000003,603.8697599999998,2.0,Nao,Vista completamente bloqueada,Bom estado,8,0.0,1985,0,Nao,Nao
1202000200,2014-11-03,233000,3,2,158.86419840000005,436.36557888,1.5,Nao,Vista completamente bloqueada,Excelente estado,6,0.0,1941,0,Nao,Nao
1794500383,2014-06-26,937000,3,2,227.61244800000003,250.00208064,2.0,Nao,Vista completamente bloqueada,Pronto para morar,8,65.032128,1915,0,Sim,Nao
3303700376,2014-12-01,667000,3,1,130.064256,146.87970624000005,1.5,Nao,Vista completamente bloqueada,Excelente estado,8,0.0,1909,0,Nao,Nao
5101402488,2014-06-24,438000,3,2,141.2126208,592.7213952000002,1.0,Nao,Vista completamente bloqueada,Pronto para morar,7,67.8192192,1948,0,Sim,Nao
1873100390,2015-03-02,719000,4,3,238.7608128,666.39350592,2.0,Nao,Vista completamente bloqueada,Pronto para morar,8,0.0,2005,0,Nao,Nao
8562750320,2014-11-10,580500,3,3,215.5350528,369.7540992,2.0,Nao,Vista completamente bloqueada,Pronto para morar,8,0.0,2003,0,Nao,Nao
2426039314,2014-12-01,280000,2,2,110.5546176,117.5223456,3.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,2005,0,Nao,Nao
461000390,2014-06-24,687500,4,2,216.4640832,464.51520000000005,1.5,Nao,Vista completamente bloqueada,Bom estado,7,76.18049280000002,1929,0,Sim,Nao
7589200193,2014-11-10,535000,3,1,101.2643136,278.70912000000004,1.5,Nao,Vista completamente bloqueada,Bom estado,8,0.0,1929,0,Nao,Nao
7955080270,2014-12-03,322500,4,3,191.38026240000002,618.6413433600002,1.0,Nao,Vista completamente bloqueada,Pronto para morar,7,72.4643712,1981,0,Sim,Nao
9547205180,2014-06-13,696000,3,3,213.676992,284.2833024,1.5,Nao,Vista completamente bloqueada,Pronto para morar,8,73.39340159999998,1930,2002,Sim,Sim
9435300030,2014-05-28,550000,4,1,154.21904640000002,3237.4851379200004,1.0,Nao,Vista completamente bloqueada,Mau estado - reforma completa necessária,5,67.8192192,1933,0,Sim,Nao
2768000400,2014-12-30,640000,4,2,219.2511744,557.4182400000002,2.0,Nao,Vista completamente bloqueada,Bom estado,8,0.0,1904,0,Nao,Nao
7895500070,2015-02-13,240000,4,1,113.3417088,750.192048,1.0,Nao,Vista completamente bloqueada,Mau estado - pequena reforma necessária,7,30.658003200000003,1969,0,Sim,Nao
2078500320,2014-06-20,605000,4,3,243.4059648,701.69666112,2.0,Nao,Vista completamente bloqueada,Pronto para morar,8,0.0,1996,0,Nao,Nao
5547700270,2014-07-15,625000,4,3,238.7608128,512.8247808,2.0,Nao,Vista completamente bloqueada,Pronto para morar,9,0.0,2000,0,Nao,Nao
7766200013,2014-08-11,775000,4,3,392.05082880000003,2246.95292544,1.0,Nao,Vista completamente bloqueada,Pronto para morar,8,150.50292480000005,1984,0,Sim,Nao
7203220400,2014-07-07,861990,5,3,333.9864288,523.88024256,2.0,Nao,Vista completamente bloqueada,Pronto para morar,9,0.0,2014,0,Nao,Nao
9270200160,2014-10-28,685000,3,1,145.85777280000005,211.8189312,2.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,1922,0,Nao,Nao
1432701230,2014-07-29,309000,3,1,118.9158912,897.07175424,1.0,Nao,Vista completamente bloqueada,Bom estado,6,33.445094399999995,1959,0,Sim,Nao
8035350320,2014-07-18,488000,3,3,293.5736064,1263.76005312,2.0,Nao,Vista completamente bloqueada,Pronto para morar,8,0.0,2003,0,Nao,Nao
8945200830,2015-03-25,210490,3,1,91.9740096,792.27712512,1.0,Nao,Vista completamente bloqueada,Pronto para morar,6,0.0,1966,0,Nao,Nao
4178300310,2014-07-16,785000,4,3,212.7479616,1246.38718464,2.0,Nao,Vista completamente bloqueada,Bom estado,9,0.0,1981,0,Nao,Nao
9215400105,2015-04-28,450000,3,2,116.1288,553.98082752,1.0,Nao,Vista completamente bloqueada,Bom estado,7,0.0,1953,0,Nao,Nao
822039084,2015-03-11,1350000,3,3,255.76206912,6039.1621152000025,1.0,Sim,Vista quase sem bloqueios,Excelente estado,9,54.62698752,1953,0,Sim,Nao
5245600105,2014-09-16,228000,3,1,110.5546176,854.61506496,1.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,1955,0,Nao,Nao
7231300125,2015-02-17,345000,5,3,292.64457600000014,848.5763673600003,1.0,Nao,Vista completamente bloqueada,Bom estado,8,140.2835904,1966,0,Sim,Nao
7518505990,2014-12-31,600000,3,2,130.99328640000002,379.0444032,1.0,Nao,Vista completamente bloqueada,Bom estado,7,38.09024640000001,1950,0,Sim,Nao
3626039271,2015-02-05,585000,2,2,183.9480192,794.320992,1.0,Nao,Vista completamente bloqueada,Pronto para morar,7,91.9740096,1981,0,Sim,Nao
4217401195,2015-03-03,920000,5,3,253.62529920000003,557.4182400000002,1.5,Nao,Vista completamente bloqueada,Pronto para morar,8,55.741824,1927,0,Sim,Nao
9822700295,2014-05-12,885000,4,3,262.9156032,464.51520000000005,2.0,Nao,Vista completamente bloqueada,Pronto para morar,9,0.0,1995,0,Nao,Nao
9478500640,2014-08-19,292500,4,3,209.03184,417.5991648,2.0,Nao,Vista completamente bloqueada,Pronto para morar,7,0.0,2008,0,Nao,Nao
2799800710,2015-04-07,301000,3,3,224.8253568,441.28944,2.0,Nao,Vista completamente bloqueada,Pronto para morar,8,0.0,2003,0,Nao,Nao
7922800400,2014-08-27,951000,5,4,301.93488,1332.41539968,2.0,Nao,Excelente - vista sem bloqueios,Bom estado,8,0.0,1968,0,Nao,Nao
